"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2028","parameterized methods","chromium","2026-05-14","passed","2026-05-14","","pageObjects.spec.ts","",""
"","1756","navigate to form page","chromium","2026-05-14","passed","2026-05-14","","pageObjects.spec.ts","",""
